Venue Name,Venue Physical Address,Region,Country,Full Address,Latitude,Longitude
CROWDED HOUSE BAR & CAFE,"93-99 DEVON STREET EAST
NEW PLYMOUTH CENTRAL
NEW PLYMOUTH 4310",Taranaki,New Zealand,"CROWDED HOUSE BAR & CAFE 93-99 DEVON STREET EAST
NEW PLYMOUTH CENTRAL
NEW PLYMOUTH 4310 Taranaki New Zealand ",-39.0566987,174.0771006
NAG N NOGGIN,"57 TUKAPA STREET
NEW PLYMOUTH CENTRAL
NEW PLYMOUTH 4310",Taranaki,New Zealand,"NAG N NOGGIN 57 TUKAPA STREET
NEW PLYMOUTH CENTRAL
NEW PLYMOUTH 4310 Taranaki New Zealand ",-39.0716667,174.0622222
THE HAIRY DOG,"33 RATA STREET
INGLEWOOD
TARANAKI 4651",Taranaki,New Zealand,"THE HAIRY DOG 33 RATA STREET
INGLEWOOD
TARANAKI 4651 Taranaki New Zealand ",-39.156002,174.2062988
THE SALTY DOG CAFE & BAR,"493-497 ST AUBYN STREET
NEW PLYMOUTH CENTRAL
NEW PLYMOUTH 4310",Taranaki,New Zealand,"THE SALTY DOG CAFE & BAR 493-497 ST AUBYN STREET
NEW PLYMOUTH CENTRAL
NEW PLYMOUTH 4310 Taranaki New Zealand ",-39.0632192,174.0457249
THE FITZ,"601 DEVON STREET EAST
NEW PLYMOUTH CENTRAL
NEW PLYMOUTH 4310",Taranaki,New Zealand,"THE FITZ 601 DEVON STREET EAST
NEW PLYMOUTH CENTRAL
NEW PLYMOUTH 4310 Taranaki New Zealand ",-39.0505714,174.1048449
ICON'S STADIUM BAR,"CORNER BROUGHAM AND ARIKI STREETS
NEW PLYMOUTH CENTRAL
NEW PLYMOUTH 4310",Taranaki,New Zealand,"ICON'S STADIUM BAR CORNER BROUGHAM AND ARIKI STREETS
NEW PLYMOUTH CENTRAL
NEW PLYMOUTH 4310 Taranaki New Zealand ",-39.0575023,174.072751
TREEHOUSE BAR & BISTRO,"463-471 DEVON STREET WEST
NEW PLYMOUTH CENTRAL
NEW PLYMOUTH 4310",Taranaki,New Zealand,"TREEHOUSE BAR & BISTRO 463-471 DEVON STREET WEST
NEW PLYMOUTH CENTRAL
NEW PLYMOUTH 4310 Taranaki New Zealand ",-39.065927,174.0482371
SHIFTY'S SPORTS BAR & TAB,"2 NUGENT STREET
BELL BLOCK
NEW PLYMOUTH 4601",Taranaki,New Zealand,"SHIFTY'S SPORTS BAR & TAB 2 NUGENT STREET
BELL BLOCK
NEW PLYMOUTH 4601 Taranaki New Zealand ",-39.0355556,174.1422222
STUMBLE INN & CAFE,"198 MANGOREI ROAD
NEW PLYMOUTH CENTRAL
NEW PLYMOUTH 4310",Taranaki,New Zealand,"STUMBLE INN & CAFE 198 MANGOREI ROAD
NEW PLYMOUTH CENTRAL
NEW PLYMOUTH 4310 Taranaki New Zealand ",-39.0663889,174.1027778
Westside Grille,"41 TUKAPA STREET
WESTOWN
NEW PLYMOUTH 4601",Taranaki,New Zealand,"Westside Grille 41 TUKAPA STREET
WESTOWN
NEW PLYMOUTH 4601 Taranaki New Zealand ",-39.0707125,174.0629466
SPORTY'S CAFE/BAR,"50 SACKVILLE STREET
FITZROY
NEW PLYMOUTH 4601",Taranaki,New Zealand,"SPORTY'S CAFE/BAR 50 SACKVILLE STREET
FITZROY
NEW PLYMOUTH 4601 Taranaki New Zealand ",-39.0488649,174.1018016
TAB FITZROY,"545 DEVON STREET EAST
FITZROY
NEW PLYMOUTH 4601",Taranaki,New Zealand,"TAB FITZROY 545 DEVON STREET EAST
FITZROY
NEW PLYMOUTH 4601 Taranaki New Zealand ",-39.0493469,174.1014876
TAB New Plymouth,"10/4 Egmont Street
NEW PLYMOUTH CENTRAL
NEW PLYMOUTH 4310
NEW ZEALAND",Taranaki,New Zealand,"TAB New Plymouth 10/4 Egmont Street
NEW PLYMOUTH CENTRAL
NEW PLYMOUTH 4310
NEW ZEALAND Taranaki New Zealand ",-39.0570185,174.0700053
CINEMA EXPRESS CAFE AND BAR,"125 DEVON STREET
NEW PLYMOUTH CENTRAL
NEW PLYMOUTH 4310",Taranaki,New Zealand,"CINEMA EXPRESS CAFE AND BAR 125 DEVON STREET
NEW PLYMOUTH CENTRAL
NEW PLYMOUTH 4310 Taranaki New Zealand ",-39.0564102,174.0778888
THE MASONIC HOTEL,"9 MCLEAN STREET
WAITARA
TARANAKI 4320",Taranaki,New Zealand,"THE MASONIC HOTEL 9 MCLEAN STREET
WAITARA
TARANAKI 4320 Taranaki New Zealand ",-39.0011111,174.2383333
Bridge Cafe & Bar,"MCLEAN STREET
WAITARA
TARANAKI 4320",Taranaki,New Zealand,"Bridge Cafe & Bar MCLEAN STREET
WAITARA
TARANAKI 4320 Taranaki New Zealand ",-39.0008538,174.2388355
PEGGY GORDONS,"58 EGMONT STREET
NEW PLYMOUTH CENTRAL
NEW PLYMOUTH 4310",Taranaki,New Zealand,"PEGGY GORDONS 58 EGMONT STREET
NEW PLYMOUTH CENTRAL
NEW PLYMOUTH 4310 Taranaki New Zealand ",-39.0584039,174.0715897
URENUI BAY HOTEL,"14 WHAKAPAKI STREET
URENUI
TARANAKI 4655",Taranaki,New Zealand,"URENUI BAY HOTEL 14 WHAKAPAKI STREET
URENUI
TARANAKI 4655 Taranaki New Zealand ",-38.9972662,174.3892929
WAITARA DISTRICT SERVICES AND CITIZENS CLUB,"38 QUEEN STREET
WAITARA
TARANAKI 4320",Taranaki,New Zealand,"WAITARA DISTRICT SERVICES AND CITIZENS CLUB 38 QUEEN STREET
WAITARA
TARANAKI 4320 Taranaki New Zealand ",-39.0019678,174.2382297
WAITARA TOWN & COUNTRY CLUB,"WEST QUAY
WAITARA
TARANAKI 4320",Taranaki,New Zealand,"WAITARA TOWN & COUNTRY CLUB WEST QUAY
WAITARA
TARANAKI 4320 Taranaki New Zealand ",-38.9999009,174.2378381
OPOTIKI COUNTY RETURNED SERVICES ASSOCIATION,"103-105 ST JOHN STREET
OPOTIKI
OPOTIKI DISTRICT 3122
NEW ZEALAND",Bay of Plenty,New Zealand,"OPOTIKI COUNTY RETURNED SERVICES ASSOCIATION 103-105 ST JOHN STREET
OPOTIKI
OPOTIKI DISTRICT 3122
NEW ZEALAND Bay of Plenty New Zealand ",-38.0055484,177.2867383
OPOTIKI HOTEL,"CORNER CHURCH AND KELLY STREET
OPOTIKI
OPOTIKI DISTRICT 3092",Bay of Plenty,New Zealand,"OPOTIKI HOTEL CORNER CHURCH AND KELLY STREET
OPOTIKI
OPOTIKI DISTRICT 3092 Bay of Plenty New Zealand ",-38.0031061,177.2845502
SLIM'S BAR,"17 ELLIOT STREET
OPOTIKI
OPOTIKI DISTRICT 3092",Bay of Plenty,New Zealand,"SLIM'S BAR 17 ELLIOT STREET
OPOTIKI
OPOTIKI DISTRICT 3092 Bay of Plenty New Zealand ",-38.004047,177.2855932
MASONIC HOTEL,"CORNER CHURCH AND ELLIOT STREETS
OPOTIKI
OPOTIKI DISTRICT 3092",Bay of Plenty,New Zealand,"MASONIC HOTEL CORNER CHURCH AND ELLIOT STREETS
OPOTIKI
OPOTIKI DISTRICT 3092 Bay of Plenty New Zealand ",-38.0040534,177.2843657
OTOROHANGA WORKINGMEN'S CLUB,"107 MANIAPOTO STREET
OTOROHANGA
WAIKATO 3900",Waikato,New Zealand,"OTOROHANGA WORKINGMEN'S CLUB 107 MANIAPOTO STREET
OTOROHANGA
WAIKATO 3900 Waikato New Zealand ",-38.1882291,175.2104339
KAWHIA HOTEL,"811 & 849 POWEWE STREET
KAWHIA
WAIKATO 3889",Waikato,New Zealand,"KAWHIA HOTEL 811 & 849 POWEWE STREET
KAWHIA
WAIKATO 3889 Waikato New Zealand ",-38.0635,174.8221097
