Region,Region_full,Industry,RetailerName,Adress Search (Concat),GoogleSheets Latitude,GoogleSheets Longitude,OpenStreetMapResult
Auckland,Auckland Region,Auto Fuel Retailing,Caltex Karaka,"Caltex Karaka, Auckland, New Zealand",-37.1374535,174.8844642,"Caltex Karaka, Karaka Road, Karaka, Franklin, Auckland, 2676, New Zealand"
Auckland,Auckland Region,Auto Fuel Retailing,Caltex Mangere,"Caltex Mangere, Auckland, New Zealand",-36.9579162,174.8332645,"Caltex, Massey Road, Mangere East, Māngere-Ōtāhuhu, Auckland, 1063, New Zealand"
Auckland,Auckland Region,Auto Fuel Retailing,Mobil The Gardens,"Mobil The Gardens, Auckland, New Zealand",-37.0125818,174.9113886,"126, Hill Road, Manurewa East, Manurewa, Auckland, 2105, New Zealand"
Auckland,Auckland Region,Auto Fuel Retailing,Caltex Balmoral,"Caltex Balmoral, Auckland, New Zealand",-36.8848757,174.7391342,"Caltex, Balmoral Road, Saint Lukes, Sandringham, Albert-Eden, Auckland, 1025, New Zealand"
Auckland,Auckland Region,Auto Fuel Retailing,Mobil Blockhouse Bay,"Mobil Blockhouse Bay, Auckland, New Zealand",-36.9061601,174.7020182,"5, Tiverton Road, New Windsor, Whau, Auckland, 0600, New Zealand"
Auckland,Auckland Region,Auto Fuel Retailing,Caltex Constellation,"Caltex Constellation, Auckland, New Zealand",-36.7467074,174.7362173,"Caltex, Whetu Place, Windsor Park, Upper Harbour, Auckland, 0732, New Zealand"
Auckland,Auckland Region,Auto Fuel Retailing,Mobil Constellation Drive,"Mobil Constellation Drive, Auckland, New Zealand",-36.7495451,174.7291958,"48, Constellation Drive, Windsor Park, Upper Harbour, Auckland, 0732, New Zealand"
Auckland,Auckland Region,Auto Fuel Retailing,Night n Day @ Gull Greville Road,"Night n Day @ Gull Greville Road, Auckland, New Zealand",-36.7304505,174.7246987,"Gull, Greville Road, Rosedale, Upper Harbour, Auckland, 0732, New Zealand"
Auckland,Auckland Region,Auto Fuel Retailing,Mobil Hillside,"Mobil Hillside, Auckland, New Zealand",-36.7719056,174.7397445,"144-146, Wairau Road, Totara Vale, Kaipātiki, Auckland, 0620, New Zealand"
Auckland,Auckland Region,Auto Fuel Retailing,Mobil Karangahape Road,"Mobil Karangahape Road, Auckland, New Zealand",-36.8592394,174.7528999,"Mobil, Karangahape Road Cycleway, Freemans Bay, Waitematā, Auckland, 1002, New Zealand"
Auckland,Auckland Region,Auto Fuel Retailing,Mobil Papakura,"Mobil Papakura, Auckland, New Zealand",-37.0697293,174.9430463,"Mobil, 347, Great South Road, Papakura, Auckland, 1051, New Zealand"
