name,outlet_type,address,city,region,latitude,longitude
Grand Hotel Akaroa,PubTAB Full Service,"6 Rue Lavaud, Akaroa, New Zealand",Akaroa,Canterbury,-43.8006741,172.9702635
Middle Pub,PubTAB Full Service,"3/13 Tarbert Street, Alexandra, New Zealand",Alexandra,Otago,-45.2577764,169.393243
Stadium Tavern Alexandra,PubTAB Self Service Only,"143 Centennial Avenue, Alexandra, New Zealand",Alexandra,Otago,-45.2454127,169.3820379
Railway Hotel Amberley,PubTAB Self Service Only,"40 Douglas Road, Amberley, New Zealand",Amberley,Canterbury,-43.1526073,172.7245387
New Orleans Hotel,PubTAB Self Service Only,"27 Buckingham Street, Arrowtown, New Zealand",Arrowtown,Otago,-44.9383641,168.831702
Devon Tavern,PubTAB Full Service,"116 Victoria Street, Allenton, Ashburton, New Zealand",Ashburton,Canterbury,-43.9042982,171.7532083
Ashburton MSA,PubTAB Full Service,"266 Havelock Street, Ashburton, New Zealand",Ashburton,Canterbury,-43.9049377,171.7498128
Hotel Ashburton,PubTAB Full Service,"11 Racecourse Road, Ashburton, New Zealand",Ashburton,Canterbury,-43.8897717,171.7649545
The Phat Duck Brew Bar and Kitchen,PubTAB Self Service Only,"360 West Street, Ashburton, New Zealand",Ashburton,Canterbury,-43.8967445,171.7584292
Ashhurst Memorial RSA,ClubTAB Self Service Only,"74 Cambridge Avenue, Ashhurst, New Zealand",Ashhurst,Manawatu-Wanganui,-40.29159,175.7547655
O'Hagans,PubTAB Self Service Only,"103 Custom Street, West Viaduct, Auckland Central, Auckland, New Zealand",Auckland,Auckland,-36.8432896,174.7621792
Auckland Trotting Club,TAB Store,"Gate B, Greenlane West Road, Epsom, Auckland, New Zealand",Auckland,Auckland,-36.8910463,174.7779907
Workshop,PubTAB Self Service Only,"Kelston Shopping Centre, Cnr Great North Road & West Coast Road, Kelston, Auckland, New Zealand",Auckland,Auckland,-36.909364,174.6636899
Miss Q's,PubTAB Self Service Only,"Shop L2, Westgate Shopping Centre, Fernhill Drive, Massey, Auckland, New Zealand",Auckland,Auckland,-36.8209746,174.6128923
Hops & Hooves,PubTAB Full Service,"Shops 9&10, 945A New North Road, Mt Albert, Auckland, New Zealand",Auckland,Auckland,-36.885157,174.7142192
Garrison Public House,PubTAB Self Service Only,"Shop 60, 286 Mt Wellington Highway, Mt Wellington, Auckland, New Zealand",Auckland,Auckland,-36.9145359,174.8391821
Otahuhu Club,ClubTAB Self Service Only,"Level 1, 435 Great South Road, Otahuhu, Auckland, New Zealand",Auckland,Auckland,-36.9450554,174.8442586
The Race Place,PubTAB Full Service,"19c Fair Mall Otara Shopping Centre, Bairds Road, Otara, Auckland, New Zealand",Auckland,Auckland,-36.9611828,174.8736046
1 Up Sports Bar,PubTAB Full Service,"1 Upland Road, , Remuera, Auckland, New Zealand",Auckland,Auckland,-36.8802123,174.8118339
Mangere TAB,TAB Store,"42 Orly Avenue, Mangere, Auckland, New Zealand",Auckland,Auckland,-36.9696362,174.7972423
Mayfield Sportshouse,TAB Store,"172 Wairau Road, Wairau Valley, Auckland, New Zealand",Auckland,Auckland,-36.7706421,174.7369807
Somerville,TAB Store,"109A Meadowland Drive, Somerville, Auckland, New Zealand",Auckland,Auckland,-36.9127069,174.930278
Panmure Tavern,PubTAB Full Service,"163 Queens Road, Panmure, Auckland, New Zealand",Auckland,Auckland,-36.9007309,174.8560572
Mangere Bridge TAB,TAB Store,"123 Coronation Road, Mangere Bridge, Auckland, New Zealand",Auckland,Auckland,-36.9492876,174.7905086
Clendon Inn,PubTAB Full Service,"441 Roscommon Road, Weymouth, Auckland, New Zealand",Auckland,Auckland,-37.0316693,174.8687288
Grey Lynn RSC,PubTAB Full Service,"1/3 Francis Street, Grey Lynn, Auckland, New Zealand",Auckland,Auckland,-36.8589928,174.7302052
Right Track Sports Cafe,PubTAB Full Service,"4 Fort Street, Auckland Central, Auckland, New Zealand",Auckland,Auckland,-36.8458454,174.7669941
Albany TAB,TAB Store,"1/15 Mercari Way, Albany, Auckland, New Zealand",Auckland,Auckland,-36.7318581,174.7089701
Inn Field,PubTAB Full Service,"409 Glenfield Road, Glenfield, Auckland, New Zealand",Auckland,Auckland,-36.7809679,174.7217361
Newmarket Branch,TAB Store,"12 Teed Street, Newmarket, Auckland, New Zealand",Auckland,Auckland,-36.8687334,174.7761426
Glen Innes Branch,TAB Store,"219 Taniwha Street, Glen Innes, Auckland, New Zealand",Auckland,Auckland,-36.8773206,174.8560365
The Banque,PubTAB Full Service,"23 Maskell Street, St Heliers, Auckland, New Zealand",Auckland,Auckland,-36.8592304,174.8613113
Richardsons Restaurant Bar,PubTAB Full Service,"211 Richardsons Road, Mount Roskill, Auckland, New Zealand",Auckland,Auckland,-36.9004616,174.7192078
Glen Eden TAB,TAB Store,"5-9 Captain Scott Road, Glen Eden, Auckland, New Zealand",Auckland,Auckland,-36.9117676,174.6526032
New Lynn Branch,TAB Store,"6/3041 Great North Road, New Lynn, Auckland, New Zealand",Auckland,Auckland,-36.9063758,174.6845668
Henderson TAB,TAB Store,"344 Great North Road, Henderson, Auckland, New Zealand",Auckland,Auckland,-36.8799879,174.633514
Sky City TAB,PubTAB Self Service Only,"Federal House, 86 Federal Street, Auckland, New Zealand",Auckland,Auckland,-36.8488981,174.7624822
The Old Albany Pub,PubTAB Full Service,"276 Dairy Flat Highway, Albany, Auckland, New Zealand",Auckland,Auckland,-36.7221969,174.6920441
Manurewa Cosy Club,PubTAB Full Service,"6 Alfriston Road, Manurewa East, Auckland, New Zealand",Auckland,Auckland,-37.0226379,174.8998614
Headin Home,PubTAB Full Service,"333 Ti Rakau Drive, Pakuranga, Auckland, New Zealand",Auckland,Auckland,-36.9282096,174.9006368
Hunters Inn,PubTAB Full Service,"22 Charles Street, Papatoetoe, Auckland, New Zealand",Auckland,Auckland,-36.9692335,174.8621379
Albion Hotel,PubTAB Self Service Only,"119 Hobson Street, Auckland Central, Auckland, New Zealand",Auckland,Auckland,-36.8495821,174.7607264
Remuera Club,PubTAB Full Service,"27/33 Ohinerau Street, Remuera, Auckland, New Zealand",Auckland,Auckland,-36.8860861,174.7976681
Prospect Of Howick,PubTAB Full Service,"78 Picton Street, Howick, Auckland, New Zealand",Auckland,Auckland,-36.8941829,174.9322257
