Location,Address (words),Country,Full Address,Latitude,Longitude
Auckland Central,Level 1 128 Kyhyber Pass Road Grafton Auckland 1023,New Zealand,Level 1 128 Kyhyber Pass Road Grafton Auckland 1023 New Zealand ,-36.8646396,174.7649988
Christchurch,Level 1 The Loft - Eastgate Mall 20 Buckleys Road Livwood Christchurch,New Zealand,Level 1 The Loft - Eastgate Mall 20 Buckleys Road Livwood Christchurch New Zealand ,-43.5329754,172.6749292
Dunedin,Community House 301 Moray Place Dunedin,New Zealand,Community House 301 Moray Place Dunedin New Zealand ,-45.8732687,170.5054944
Feilding,Feilding House 131 Manchester Street Fielding,New Zealand,Feilding House 131 Manchester Street Fielding New Zealand ,-40.2237021,175.5628383
Hamilton,Level 2 109 Anglesea Street Hamilton 3204,New Zealand,Level 2 109 Anglesea Street Hamilton 3204 New Zealand ,-37.7930974,175.2844353
Paraparaumu/Kapiti,110 Rimu Road Parapraumu,New Zealand,110 Rimu Road Parapraumu New Zealand ,-40.9194406,174.9994846
Petone,Manuka Health Centre 11 Hector Street Petone,New Zealand,Manuka Health Centre 11 Hector Street Petone New Zealand ,-41.2189067,174.8771295
Porirua,Level 3 Pember House 16 Hagley Street Porirua,New Zealand,Level 3 Pember House 16 Hagley Street Porirua New Zealand ,-41.1346911,174.8393701
Rotorua,Unit 12 1209 Hinumaru Street Rotorua,New Zealand,Unit 12 1209 Hinumaru Street Rotorua New Zealand ,-38.1364474,176.2552689
Takapuna,Community Services Building 7 The Strand Takapuna 0622,New Zealand,Community Services Building 7 The Strand Takapuna 0622 New Zealand ,-36.7892886,174.7737807
Tauranga,Hiller Centre 31 Gloucester Road Mt Mauganui,New Zealand,Hiller Centre 31 Gloucester Road Mt Mauganui New Zealand ,-37.6774827,176.2283693
Timaru,Community House 276 Strathallan Street Timaru,New Zealand,Community House 276 Strathallan Street Timaru New Zealand ,-44.3951594,171.2528527
Whanganui,Nga Tai o te Awa 142 Guyton Street Whanganui,New Zealand,Nga Tai o te Awa 142 Guyton Street Whanganui New Zealand ,-39.9341821,175.0468397
Wellington Central,Lvl 3 5-7 Vivian Street Te Aro Wellington,New Zealand,Lvl 3 5-7 Vivian Street Te Aro Wellington New Zealand ,-41.2969225,174.7812873
Westport,Poutini Waiora 98 Brougham St Westport,New Zealand,Poutini Waiora 98 Brougham St Westport New Zealand ,-42.7193231,170.9592121
